title,authors,abstract_url,source
Brain activity discriminates acoustic simulations of the same environment,"Viola G. Matten, Ruediger Stirnberg, Steven van de Par, Stephan Ewert, Virginia L. Flanagin",https://www.biorxiv.org/content/10.1101/2024.08.29.610373v2,bioRxiv
Harnessing GPT-4 for Automated Curation of E3-Substrate Relationships in the Ubiquitin-Proteasome System,"Zhiqian Zhang, Stephen Elledge",https://www.biorxiv.org/content/10.1101/2024.10.20.619305v1,bioRxiv
Intrinsic Diversity in Primary Cilia Revealed Through Spatial Proteomics,"Emma Lundberg, Jan Hansen, Huangqingbo Sun, Konstantin Kahnert, Alexandra Johannesson, Kalliopi Tzavlaki, Casper Winsnes, Emmie Pohjahnen, Jennny Fall, Mathias Uhlen, Ulrika Axelsson, Frederic Ballllosera Navarro, Anna Backstrom, Cecilia Lindskog, Fredric Johansson, Kalle von Feilitzen, Angelica Delgado Vega, Anna Martinez Casals, Diana Mahdessian, Anna Lindstrand, Eini Westenius",https://www.biorxiv.org/content/10.1101/2024.10.20.619273v1,bioRxiv
In vivo functional profiling and structural characterisation of the human Glp1r A316T variant,"Liliane El Eid, Kieran Deane-Alder, Roxana-Maria Rujan, Zamara Mariam, Affiong I Oqua, Yusman Manchanda, Matthew J Belousoff, Jorge Bernardino de la Serna, Kyle W Sloop, Guy  A Rutter, Alex Montoya, Dominic J Withers, Steven Millership, Karim Bouzakri, Ben Jones, Christopher A Reynolds, Patrick M Sexton, Denise Wootten, Giuseppe Deganutti, Alejandra Tomas",https://www.biorxiv.org/content/10.1101/2024.10.19.619191v1,bioRxiv
Ca2+-dependent vesicular and non-vesicular lipid transfer controls hypoosmotic plasma membrane expansion,"Baicong Mu, David M Rutkowski, Gianluca Grenci, Dimitrios Vavylonis, Dan Zhang",https://www.biorxiv.org/content/10.1101/2024.10.20.619261v1,bioRxiv
[Reflexions apropos of recent progresses in molecular genetics of myopathies].,Kaplan JC.,https://pubmed.ncbi.nlm.nih.gov/7550833/,PubMed
[Recent aspects of neuroendocrine mechanisms of puberty].,"Lebrethon MC, Bourguignon JP.",https://pubmed.ncbi.nlm.nih.gov/12108275/,PubMed
[Papillomavirus: recent progress].,Danos O.,https://pubmed.ncbi.nlm.nih.gov/3027644/,PubMed
[Recent progess in the autoimmune aspects of diabetes].,"Bottazzo GF, Doniach D, Dean BM, Cudworth AG.",https://pubmed.ncbi.nlm.nih.gov/6454021/,PubMed
[Recent developments in the physiology of the exocrine pancreas].,Rozé C.,https://pubmed.ncbi.nlm.nih.gov/206300/,PubMed
[Recent aspects of the study of sleep in humans].,Tissot R.,https://pubmed.ncbi.nlm.nih.gov/5320183/,PubMed
"[Recent developments of spoligotyping as applied to the study of epidemiology, biodiversity and molecular phylogeny of the Mycobacterium tuberculosis complex].","Sola C, Filliol I, Legrand E, Rastogi N.",https://pubmed.ncbi.nlm.nih.gov/11204924/,PubMed
[Imaging work-up for recent spinal trauma].,"Moser T, Dosch JC, Gangi A, Buy X, Dietemann JL.",https://pubmed.ncbi.nlm.nih.gov/18065876/,PubMed
[Recent studies on obesity].,"Albeaux-Fernet M, Bellot L, Canet L, Deribreux J, Gelinet M.",https://pubmed.ncbi.nlm.nih.gov/4922077/,PubMed
[Recent advances in pneumology].,"Chaumuzeau JP, Fournel M, Hirsch A, Perdrizet S.",https://pubmed.ncbi.nlm.nih.gov/4570027/,PubMed
